"isReserved","updateRes","OMSCHR","NAAM","vrijwillID","startDate","SugbyINBO","locID","restricties","Sampler","dataset","SystemType","GEBIED","provincie","gemeente","postcode","CATC","VHAG","WVLC","Latitude","Longitude","Beheerder","Bhrtel","Bhremail","geometry"
"TRUE","TRUE","Leeuwerweg, thv kruispunt met landweg, vanaf 2de betonnen brugje","Vloedgracht","nwi2m2u2 ","11/07/24","YES","I_3440_6",NA," ","VMM_Mtp","Lotisch"," ","Vlaams-Brabant","Zoutleeuw",3440,1,7957," ",50.8409316,5.1014734,"VMM",NA,"d.slootmaekers@vmm.be",c(5.1014734, 50.8409316)
"TRUE","TRUE","Molenstede, Klappijstr, via oprit huis nr 92, over brugje, 100 m rechtdoor door wei, LO","Grotebeek","ymq3yzm1 ","15/07/24","YES","I_3294_1",NA," ","VMM_Mtp","Lotisch"," ","Vlaams-Brabant","Diest",3294,1,7751," ",51.0106218,5.0460201,"VMM",NA,"d.slootmaekers@vmm.be",c(5.0460201, 51.0106218)
"TRUE","TRUE","Affligemsestraat-Driesstraat,afw weg,thv handelszaak","Bellebeek","yjmznwm3 ","27/09/2024","YES","I_1770_1",NA," ","VMM_Mtp","Lotisch"," ","Vlaams-Brabant","Liedekerke",1770,1,5956," ",50.8854042,4.0965682,"VMM",NA,"d.slootmaekers@vmm.be",c(4.0965682, 50.8854042)
"TRUE","TRUE","Teralfene,Stationsstraat,afw Bellemolen, thv 524000","Bellebeek","yjmznwm3 ","27/09/2024","YES","I_1790_1",NA," ","VMM_Mtp","Lotisch"," ","Vlaams-Brabant","Affligem",1790,1,5956," ",50.8880448,4.1156538,"VMM",NA,"d.slootmaekers@vmm.be",c(4.1156538, 50.8880448)
"TRUE","TRUE","Krekebekestraat, afw Kortemark","Handzamevaart","mdywmjc1 ","28/06/2024","YES","I_8610_1",NA," ","VMM_Mtp","Lotisch"," ","West-Vlaanderen","Kortemark",8610,1,1208," ",51.0260091,3.0239868,"VMM",NA,"d.slootmaekers@vmm.be",c(3.0239868, 51.0260091)
"TRUE","TRUE","Overpelt, Dommellaan, 10 m opw Wedelsemolen, opw houten brugje","Dommel","mdflzwm0 ","31/08/24","YES","I_3900_1",NA," ","VMM_Mtp","Lotisch"," ","Limburg","Pelt",3900,1,9512," ",51.1812426,5.4367156,"VMM",NA,"d.slootmaekers@vmm.be",c(5.4367156, 51.1812426)
"TRUE","TRUE","Lossing-Emissaire, Molenbeersel, Vlasbrei, Uffelseweg, grenspaal 145, opw brug","Lossing","ztnhyzk1 ","TBD","YES","I_3640_11",NA," ","VMM_Mtp","Lotisch"," ","Limburg","Kinrooi",3640,1,9967," ",51.1717186,5.7795737,"VMM",NA,"d.slootmaekers@vmm.be",c(5.7795737, 51.1717186)
"TRUE","TRUE","'s Gravenwezel, Noorderlaan","Antitankkanaal","nmvkndjl ","TBD","YES","I_2970_1",NA," ","VMM_Mtp","Lotisch"," ","Antwerpen","Schilde",2970,1,17603," ",51.2630475,4.5877525,"VMM",NA,"d.slootmaekers@vmm.be",c(4.5877525, 51.2630475)
"TRUE","TRUE","Kessel-Lo, Dijledreef, opw brug","Dijle","yjk2zjuy ","TBD","YES","I_3010_1",NA," ","VMM_Mtp","Lotisch"," ","Vlaams-Brabant","Leuven",3010,1,6551," ",50.8913324,4.7102315,"VMM",NA,"d.slootmaekers@vmm.be",c(4.7102315, 50.8913324)
"TRUE","TRUE","Heverlee, opw brug voor kasteel van Arenberg","Dijle","yjk2zjuy ","TBD","YES","I_3001_1",NA," ","VMM_Mtp","Lotisch"," ","Vlaams-Brabant","Leuven",3001,1,6551," ",50.8630093,4.6835057,"VMM",NA,"d.slootmaekers@vmm.be",c(4.6835057, 50.8630093)
"TRUE","TRUE","Ginderbroek, Borgerhoutsendijk, opw brug","Molse Nete","ztu0mthk ","TBD","YES","I_2400_2",NA," ","VMM_Mtp","Lotisch"," ","Antwerpen","Mol",2400,1,8506," ",51.1790866,5.1125897,"VMM",NA,"d.slootmaekers@vmm.be",c(5.1125897, 51.1790866)
"TRUE","TRUE","Molenbeersel, Weertersteenweg, onverhard pad natuurreservaat, 30m opw brug","Lossing","ztnhyzk1 ","TBD","YES","I_3640_4",NA," ","VMM_Mtp","Lotisch"," ","Limburg","Kinrooi",3640,1,9967," ",51.1645167,5.7399779,"VMM",NA,"d.slootmaekers@vmm.be",c(5.7399779, 51.1645167)
"TRUE","TRUE","Kessenich, Manestr, 10 m afw brug","Itterbeek","ztnhyzk1 ","TBD","YES","I_3640_6",NA," ","VMM_Mtp","Lotisch"," ","Limburg","Kinrooi",3640,1,9522," ",51.1508565,5.7754728,"VMM",NA,"d.slootmaekers@vmm.be",c(5.7754728, 51.1508565)
"TRUE","TRUE","Wilsele, Van der Nootstr, opw monding Vunt en 217300","Vunt","mjiyy2uw ","TBD","YES","I_3012_4",NA," ","VMM_Mtp","Lotisch"," ","Vlaams-Brabant","Leuven",3012,1,6603," ",50.9285196,4.7109437,"VMM",NA,"d.slootmaekers@vmm.be",c(4.7109437, 50.9285196)
"TRUE","TRUE","Herenthout; Itegemsestwg; 120m afw brug beginnen","Wimp","mmm4mzq3 ","TBD","YES","I_2270_3",NA," ","VMM_Mtp","Lotisch"," ","Antwerpen","Herenthout",2270,1,8507," ",51.1259324,4.7591022,"VMM",NA,"d.slootmaekers@vmm.be",c(4.7591022, 51.1259324)
"TRUE","TRUE","Wilsele, Aarschotsestw, afw brug en overstorten","Vunt","mjiyy2uw ","TBD","YES","I_3012_7",NA," ","VMM_Mtp","Lotisch"," ","Vlaams-Brabant","Leuven",3012,1,6603," ",50.9151847,4.7152261,"VMM",NA,"d.slootmaekers@vmm.be",c(4.7152261, 50.9151847)
"TRUE","TRUE","Stenenbrug,veldweg langs Zuidlede","Zuidlede","nweyoti0 ","TBD","YES","I_9180_5",NA," ","VMM_Mtp","Lotisch"," ","Oost-Vlaanderen","Moerbeke",9180,1,26," ",51.1478349,3.9110453,"VMM",NA,"d.slootmaekers@vmm.be",c(3.9110453, 51.1478349)
"TRUE","TRUE","Molendam-Molenslag,Molenbrug,opw weg","Oude Kale","ytbmntfk ","TBD","YES","I_9920_3",NA," ","VMM_Mtp","Lotisch"," ","Oost-Vlaanderen","Lievegem",9920,1,72," ",51.0832226,3.6207069,"VMM",NA,"d.slootmaekers@vmm.be",c(3.6207069, 51.0832226)
"TRUE","TRUE","Landegem,Brouwerijstraat,afw weg","Oude Kale","ytbmntfk ","TBD","YES","I_9850_4",NA," ","VMM_Mtp","Lotisch"," ","Oost-Vlaanderen","Deinze",9850,1,72," ",51.0578843,3.5717004,"VMM",NA,"d.slootmaekers@vmm.be",c(3.5717004, 51.0578843)
"TRUE","TRUE","Vlissegem, Brugse Baan, Lepelem","Noordede","n2flymi5 ","TBD","YES","I_8490_2",NA," ","VMM_Mtp","Lotisch"," ","West-Vlaanderen","Jabbeke",8490,1,2122," ",51.2429291,3.1108916,"VMM",NA,"d.slootmaekers@vmm.be",c(3.1108916, 51.2429291)
"TRUE","TRUE","Rode Amerikaanse rivierkreeft in 2022","Kanaal van Stekene","nzjkzdez ","TBD","YES","I_9112_4",NA," ","Scheers","Lotisch"," ","Oost-Vlaanderen","Stekene",9112,1,123," ",51.1742492,4.0028625,"VMM",NA,"d.slootmaekers@vmm.be",c(4.0028625, 51.1742492)
"TRUE","TRUE"," ","Gavermeer","mwu5ntqy ","TBD","YES","I_8530_12",NA," ","ANB_Mtp","Lentisch","De Gavers","West-Vlaanderen","Harelbeke",8530,1,NA,"WVLHAR0329",50.8400718,3.3144738,"VMM",NA,"d.slootmaekers@vmm.be",c(3.3144738, 50.8400718)
"TRUE","TRUE"," ","Gavermeer","mwu5ntqy ","TBD","YES","I_8540_4",NA," ","ANB_Mtp","Lentisch","De Gavers","West-Vlaanderen","Deerlijk",8540,1,0,"WVLHAR0329",50.8457795,3.326138,"VMM",NA,"d.slootmaekers@vmm.be",c(3.326138, 50.8457795)
